source,target,anchor,reason
/guides/k1-game-download-android-pakistan/,/download/,"Download","route article to closest hub"
/download/,/guides/k1-game-download-android-pakistan/,"K1 Game Download for Android in Pakistan","supporting long-tail guide"
/guides/k1-game-apk-not-installing/,/android/,"Android","route article to closest hub"
/android/,/guides/k1-game-apk-not-installing/,"K1 Game APK Not Installing: Fixes and Checks","supporting long-tail guide"
/guides/k1-game-latest-apk-file-size/,/install-faq/,"Install FAQ","route article to closest hub"
/install-faq/,/guides/k1-game-latest-apk-file-size/,"K1 Game Latest APK File Size and Version Checks","supporting long-tail guide"
/guides/safe-source-checklist/,/updates/,"Updates","route article to closest hub"
/updates/,/guides/safe-source-checklist/,"Safe Source Checklist Before Installing K1 Game","supporting long-tail guide"
/guides/android-unknown-source-warning/,/download/,"Download","route article to closest hub"
/download/,/guides/android-unknown-source-warning/,"Android Unknown Source Warning for K1 Game APK","supporting long-tail guide"
/guides/download-not-starting/,/android/,"Android","route article to closest hub"
/android/,/guides/download-not-starting/,"K1 Game Download Not Starting: Browser and Network Fixes","supporting long-tail guide"
/guides/apk-update-required/,/install-faq/,"Install FAQ","route article to closest hub"
/install-faq/,/guides/apk-update-required/,"K1 Game APK Update Required Message Explained","supporting long-tail guide"
/guides/old-phone-compatibility/,/updates/,"Updates","route article to closest hub"
/updates/,/guides/old-phone-compatibility/,"K1 Game APK Compatibility on Older Android Phones","supporting long-tail guide"
/guides/apk-mirror-risk/,/download/,"Download","route article to closest hub"
/download/,/guides/apk-mirror-risk/,"K1 Game APK Mirror Risk and Safer Checks","supporting long-tail guide"
/guides/download-vs-login/,/android/,"Android","route article to closest hub"
/android/,/guides/download-vs-login/,"K1 Game Download vs Login: Which Page Do You Need?","supporting long-tail guide"
/guides/first-install-guide/,/install-faq/,"Install FAQ","route article to closest hub"
/install-faq/,/guides/first-install-guide/,"First-Time K1 Game Install Guide","supporting long-tail guide"
/guides/weekly-download-review/,/updates/,"Updates","route article to closest hub"
/updates/,/guides/weekly-download-review/,"Weekly K1 Game Download Review Log","supporting long-tail guide"
