type,keyword,target_url,intent,priority
core,"k1 game download","/","homepage",1
"download","k1 game download android pakistan","/guides/k1-game-download-android-pakistan/","download",1
"troubleshooting","k1 game apk not installing","/guides/k1-game-apk-not-installing/","troubleshooting",1
"version","k1 game latest apk file size","/guides/k1-game-latest-apk-file-size/","version",1
"safety","k1 game apk safe source","/guides/safe-source-checklist/","safety",1
"tutorial","k1 game unknown source warning","/guides/android-unknown-source-warning/","tutorial",2
"troubleshooting","k1 game download not starting","/guides/download-not-starting/","troubleshooting",2
"update","k1 game update required","/guides/apk-update-required/","update",2
"device","k1 game android compatibility","/guides/old-phone-compatibility/","device",2
"risk","k1 game apk mirror risk","/guides/apk-mirror-risk/","risk",3
"comparison","k1 game download vs login","/guides/download-vs-login/","comparison",3
"tutorial","k1 game first install guide","/guides/first-install-guide/","tutorial",3
"freshness","k1 game download review","/guides/weekly-download-review/","freshness",3
hub,"Download","/download/","hub",1
hub,"Android","/android/","hub",2
hub,"Install FAQ","/install-faq/","hub",3
hub,"Updates","/updates/","hub",4
"troubleshooting","k1 game apk package parse error","/guides/apk-package-parse-error/","troubleshooting",1
"download","k1 game apk download without play store","/guides/apk-download-without-play-store/","download",1
"hub","k1 game apk troubleshooting","/guides/android-apk-troubleshooting/","hub",1
"next-sprint","k1 game apk split file install","/guides/apk-split-file-install/","next-sprint",1
